Job ID,Completion Time,Times Migrated,Times Restarted
88,28866,6,7
3,44994,3,3
183,33208,6,7
115,30615,3,4
122,38083,11,9
217,34209,3,4
39,32472,3,4
139,36014,5,6
172,34434,3,4
169,36046,4,5
159,36058,4,5
91,36070,4,5
49,37809,5,6
83,34214,8,9
86,37809,6,7
190,37809,4,5
40,36032,5,6
62,37815,6,7
194,37815,10,11
5,36038,4,5
155,37855,7,8
141,37815,6,7
44,50269,7,8
67,39608,5,6
1,39626,3,4
104,39627,5,6
35,39640,6,7
21,39640,4,5
113,39647,4,5
161,32421,5,6
210,37808,4,5
22,39671,3,4
117,39670,5,6
118,39672,6,7
145,37815,7,8
4,41409,6,7
63,41409,10,11
68,41408,4,5
80,52175,12,13
152,41409,11,12
162,41409,6,7
235,41408,7,8
248,41409,5,6
101,41415,8,9
130,41408,1,2
191,41415,4,5
230,34368,9,10
25,41428,2,3
129,79133,8,9
149,43213,7,7
16,43233,6,7
66,43219,5,6
45,43221,4,5
228,43220,8,7
18,43238,6,7
121,43239,6,7
201,43252,7,8
225,52083,6,6
9,43278,8,9
20,45008,5,3
32,45256,6,7
47,41408,2,3
60,41646,7,8
134,45009,10,11
154,45008,9,7
163,57637,10,11
218,45008,5,6
231,45008,12,13
239,45009,6,7
58,45015,8,9
109,64826,9,10
212,45008,7,8
215,45015,8,9
197,45021,5,6
216,45021,8,9
131,57546,14,15
173,45040,3,4
177,45788,6,7
53,57602,6,7
211,46807,7,8
8,45020,9,10
164,46813,7,8
148,41700,12,13
61,46820,6,7
175,46827,7,8
6,48609,11,12
143,48608,6,7
176,48609,3,4
252,48608,5,6
251,48615,3,4
254,62156,8,6
208,50413,6,7
36,50414,7,8
105,50415,3,4
185,50421,10,11
202,50421,6,7
120,50427,11,12
207,60337,9,10
7,52208,7,8
34,50676,10,11
73,61090,13,13
125,49786,6,7
213,52209,8,8
75,52216,9,9
241,53167,11,12
56,54008,7,8
138,54008,11,12
126,54037,11,12
37,55809,11,12
136,55808,8,9
157,55808,7,8
205,55816,7,8
257,25230,1,2
31,86341,11,12
171,61213,11,12
199,59409,8,9
232,61208,13,14
76,73770,7,8
96,61241,11,12
77,63035,11,11
272,25195,3,4
259,30570,2,3
356,10846,0,1
85,64821,9,10
178,64827,8,9
276,27005,2,3
84,64975,5,6
270,30648,3,4
320,26988,1,2
0,68407,13,14
160,94413,11,12
165,70209,12,13
250,70209,8,9
266,28776,4,5
14,55803,11,12
54,72008,3,4
261,37799,2,3
69,72020,12,13
103,72022,10,11
274,34217,3,4
289,34136,2,3
283,34175,3,4
309,30594,2,3
317,28806,2,3
363,23342,2,3
267,39640,5,6
264,37795,2,3
268,37825,2,3
209,60717,10,11
292,35999,8,7
319,32397,2,3
338,30601,3,4
366,21625,1,2
328,35987,7,8
354,25208,1,2
314,37760,3,4
100,95324,7,8
198,82813,9,10
308,37869,3,4
313,41348,6,7
330,39656,2,3
321,39600,4,5
284,48562,6,7
302,46790,5,6
326,43190,4,5
385,19809,1,2
365,28800,2,3
374,35968,1,2
353,34261,2,3
370,39608,4,5
335,52202,7,8
277,57511,8,9
296,64796,6,7
311,62969,6,7
316,37855,3,4
327,61189,9,10
334,60244,8,9
280,73784,7,8
367,57594,8,9
291,68401,8,7
422,21608,1,2
372,55809,6,7
398,43200,5,6
409,36007,4,5
424,18008,1,2
297,79195,8,9
396,46801,9,8
416,35998,8,7
420,28806,6,7
429,14405,3,4
376,64776,9,10
310,80977,11,12
386,55785,9,10
387,54008,9,10
406,46807,8,7
418,39614,3,4
439,14392,1,2
391,59408,7,8
412,48603,13,14
434,18006,2,3
444,12641,0,1
415,48660,8,9
413,55802,6,7
447,14401,1,2
446,16261,2,3
425,43200,2,3
123,140422,9,10
226,145808,12,13
452,14407,1,2
449,21599,2,1
442,25229,2,1
430,46797,3,4
438,35993,5,4
450,21590,2,3
461,16255,0,1
463,14399,1,2
454,28800,2,3
451,30654,4,5
466,17971,2,3
459,25200,3,4
428,41399,3,4
465,28801,1,2
473,28808,4,5
462,50407,4,5
460,63080,11,10
468,50399,7,8
471,46800,4,5
476,39600,6,7
481,10847,0,1
469,45061,9,10
478,39601,4,3
480,28801,4,5
485,25207,6,7
486,14393,2,3
470,90008,12,13
483,66648,5,4
489,39607,4,5
490,39601,3,4
492,28800,1,2
491,41460,4,5
493,32400,3,4
496,39601,4,5
495,46801,6,7
498,41448,4,5
494,104401,7,8
500,39601,3,4
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
